2026-09-24T21:04:12Z INFO Logging to /tmp/logs/update_2026-09-24T21-04-12Z.log.
2026-09-24T21:04:12Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-24T21:04:14Z INFO Processing 360 items (56164 already recorded).
2026-09-24T21:08:06Z INFO [94/360] 136f0bf1-7035-404a-bfb6-b24b95b0a9f7: does not qualify; 2.2 s; peak memory 402 MiB.
2026-09-24T21:08:07Z INFO [95/360] 13703ed8-7fba-485a-a628-f352f3735ad9: does not qualify; 0.5 s; peak memory 402 MiB.
2026-09-24T21:08:08Z INFO [96/360] 13711ba7-e5dd-4a97-b5e2-3d7fd3d6c423: does not qualify; 1.6 s; peak memory 402 MiB.
2026-09-24T21:08:09Z INFO [97/360] 13716166-81b6-4d54-a446-247bafe03c5c: does not qualify; 0.5 s; peak memory 402 MiB.
2026-09-24T21:08:10Z INFO [98/360] 137164bf-2230-4bd6-9019-54f437b5d166: does not qualify; 1.4 s; peak memory 402 MiB.
2026-09-24T21:08:11Z INFO [99/360] 13716b5c-04b4-4799-a7ca-d5a6df354e93: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:08:12Z INFO [100/360] 137237d4-eaa3-4f1f-ab54-da77ac3e8769: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:08:12Z INFO [100/360] 137237d4-eaa3-4f1f-ab54-da77ac3e8769: checkpointed 56264 records.
2026-09-24T21:08:13Z INFO [101/360] 137298ee-7cb7-44eb-aecf-95ef819c4c90: does not qualify; 0.8 s; peak memory 402 MiB.
2026-09-24T21:08:14Z INFO [102/360] 13734058-9fcb-4e75-a19b-534da6b45692: does not qualify; 1.1 s; peak memory 402 MiB.
2026-09-24T21:08:14Z INFO [103/360] 13753607-5a7c-45ee-b43d-04b3cbd35c36: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:08:15Z INFO [104/360] 13764f63-7a51-4b35-aa4a-1f2cc99c68d0: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:08:16Z INFO [105/360] 13768881-e3d7-4fa8-9b61-e2e1e34d4892: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:08:21Z INFO [106/360] 1376a8ea-10f9-4283-8b19-63b7af725eca: qualifies; 5.6 s; peak memory 402 MiB.
2026-09-24T21:08:22Z INFO [107/360] 1376bfa4-f374-47dc-b758-7d759e6c97c0: does not qualify; 0.9 s; peak memory 402 MiB.
2026-09-24T21:08:23Z INFO [108/360] 137710a2-1791-42a4-b537-e22f1c353da2: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:08:24Z INFO [109/360] 1378681e-8d08-41a7-a1b4-003625740360: does not qualify; 0.7 s; peak memory 402 MiB.
2026-09-24T21:08:24Z INFO [110/360] 13786c50-43d2-4cd6-9543-d8d02d08ff5a: does not qualify; 0.9 s; peak memory 402 MiB.
2026-09-24T21:08:25Z INFO [111/360] 13787bab-b860-4634-96c3-1d0f534cd174: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:08:26Z INFO [112/360] 1379a9ae-e904-4ca2-9cca-82de578e1052: does not qualify; 0.6 s; peak memory 402 MiB.
2026-09-24T21:08:27Z INFO [113/360] 137bec33-8869-4065-89ec-36a0c3fd7ff7: does not qualify; 1.2 s; peak memory 402 MiB.
2026-09-24T21:08:27Z INFO [114/360] 137d29ab-0bb8-40ce-a903-c291d8c74d9e: does not qualify; 0.6 s; peak memory 402 MiB.
