2026-09-24T16:22:13Z INFO Logging to /tmp/logs/update_2026-09-24T16-22-13Z.log.
2026-09-24T16:22:13Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-24T16:22:15Z INFO Processing 371 items (55793 already recorded).
2026-09-24T16:27:24Z INFO [139/371] 12c92aa1-f07a-49c0-8b2f-151a5bbc2bc2: does not qualify; 0.9 s; peak memory 570 MiB.
2026-09-24T16:27:30Z INFO [140/371] 12c99230-73c2-40a8-ba72-c517e77b8eb0: does not qualify; 5.7 s; peak memory 686 MiB.
2026-09-24T16:27:31Z INFO [141/371] 12c9b46b-09bb-42e9-b101-d3e4050100de: does not qualify; 1.0 s; peak memory 686 MiB.
2026-09-24T16:27:32Z INFO [142/371] 12c9d898-79ba-40e9-8287-f1eae4e5aec7: does not qualify; 0.8 s; peak memory 686 MiB.
2026-09-24T16:27:40Z INFO [143/371] 12ca12c6-1b15-442c-98c2-24cbfff86327: does not qualify; 8.2 s; peak memory 686 MiB.
2026-09-24T16:27:41Z INFO [144/371] 12ca7689-5383-44a5-a876-23d6b06993fa: does not qualify; 0.9 s; peak memory 686 MiB.
2026-09-24T16:27:42Z INFO [145/371] 12ca9145-1f4e-4031-872a-13a911468979: does not qualify; 0.9 s; peak memory 686 MiB.
2026-09-24T16:27:43Z INFO [146/371] 12cb1c42-8ea5-4baf-94fd-9f595aa13ef3: does not qualify; 0.8 s; peak memory 686 MiB.
2026-09-24T16:27:44Z INFO [147/371] 12cbb7d0-819c-45f1-b474-bf1b64fcdb2c: does not qualify; 1.3 s; peak memory 686 MiB.
2026-09-24T16:27:47Z INFO [148/371] 12cbc261-75ed-48e3-b35f-d96477a7561b: does not qualify; 2.8 s; peak memory 686 MiB.
2026-09-24T16:27:48Z INFO [149/371] 12cbc77f-40c0-481d-ab97-0e94b00341bf: does not qualify; 1.1 s; peak memory 686 MiB.
2026-09-24T16:27:49Z INFO [150/371] 12cc990c-02cc-41e0-96b9-f7dab58a8fa5: does not qualify; 0.7 s; peak memory 686 MiB.
2026-09-24T16:27:49Z INFO [150/371] 12cc990c-02cc-41e0-96b9-f7dab58a8fa5: checkpointed 55943 records.
2026-09-24T16:27:50Z INFO [151/371] 12cca1fc-d55c-4de3-9713-782342706c2f: does not qualify; 1.3 s; peak memory 686 MiB.
2026-09-24T16:27:52Z INFO [152/371] 12cdd38a-d738-4201-920f-5f939087b2c4: does not qualify; 1.8 s; peak memory 686 MiB.
2026-09-24T16:27:54Z INFO [153/371] 12ce0264-2ee1-4104-a9dd-ac0f148ba059: does not qualify; 2.0 s; peak memory 686 MiB.
2026-09-24T16:27:55Z INFO [154/371] 12ceb313-e880-4cad-bc23-548eb32e9d0c: does not qualify; 1.0 s; peak memory 686 MiB.
2026-09-24T16:27:56Z INFO [155/371] 12cf3e0b-8c11-4b63-8140-69b2ac5e6066: does not qualify; 0.8 s; peak memory 686 MiB.
2026-09-24T16:27:59Z INFO [156/371] 12d08f77-07ed-4b9e-936c-b5c31a4ff21f: does not qualify; 3.9 s; peak memory 686 MiB.
2026-09-24T16:28:01Z INFO [157/371] 12d0cb6f-1cc2-4358-be69-439b9817c0a1: does not qualify; 1.4 s; peak memory 686 MiB.
2026-09-24T16:28:03Z INFO [158/371] 12d0e467-8eae-483f-b4aa-13e59646c177: does not qualify; 2.2 s; peak memory 686 MiB.
2026-09-24T16:28:04Z INFO [159/371] 12d2cac3-ae00-432e-959c-e7fc04e718c7: does not qualify; 0.9 s; peak memory 686 MiB.
2026-09-24T16:28:09Z INFO [160/371] 12d30258-a0d3-40b6-8259-3c1459b4f467: does not qualify; 4.8 s; peak memory 686 MiB.
2026-09-24T16:28:14Z INFO [161/371] 12d3ca17-e4d7-446f-8f98-d65bbdcb4e8f: does not qualify; 5.4 s; peak memory 686 MiB.
2026-09-24T16:28:16Z INFO [162/371] 12d3e591-ed27-4b78-8dc9-3b5bcfa74372: does not qualify; 1.5 s; peak memory 686 MiB.
2026-09-24T16:28:17Z INFO [163/371] 12d4beb6-4236-4174-95b8-853c5e0d3d2f: does not qualify; 1.0 s; peak memory 686 MiB.
2026-09-24T16:28:18Z INFO [164/371] 12d4cba8-1f84-4a51-82af-175542cf541e: does not qualify; 0.9 s; peak memory 686 MiB.
2026-09-24T16:28:19Z INFO [165/371] 12d5aff7-6fcd-404d-bb63-e8d9b54ec532: does not qualify; 0.9 s; peak memory 686 MiB.
2026-09-24T16:28:19Z INFO [166/371] 12d5d0a7-b3e9-4294-9bd4-02c968f54230: does not qualify; 0.9 s; peak memory 686 MiB.
2026-09-24T16:28:20Z INFO [167/371] 12d60adb-02ee-44ee-8368-f5837b929562: does not qualify; 0.8 s; peak memory 686 MiB.
2026-09-24T16:28:21Z INFO [168/371] 12d7d4b4-32d6-4044-99a2-da1c04dd13e8: does not qualify; 0.8 s; peak memory 686 MiB.
2026-09-24T16:28:22Z INFO [169/371] 12d82f30-a07f-4206-a0ce-fffcd3046a4d: does not qualify; 0.9 s; peak memory 686 MiB.
2026-09-24T16:28:23Z INFO [170/371] 12d8d8f4-3f99-4df6-8f4c-ccd4436ad486: does not qualify; 1.0 s; peak memory 686 MiB.
2026-09-24T16:28:24Z INFO [171/371] 12d8f75c-7ac6-43f1-8fbd-4570c66692e4: does not qualify; 1.3 s; peak memory 686 MiB.
2026-09-24T16:28:25Z INFO [172/371] 12d95e48-b757-4137-afbe-9578c60814d5: does not qualify; 0.8 s; peak memory 686 MiB.
2026-09-24T16:28:26Z INFO [173/371] 12d970ae-a1d9-41f0-8965-5923a94b87b5: does not qualify; 0.7 s; peak memory 686 MiB.
2026-09-24T16:28:30Z INFO [174/371] 12d990ac-b455-4765-917d-c94928b891e8: does not qualify; 4.7 s; peak memory 686 MiB.
2026-09-24T16:28:32Z INFO [175/371] 12d9a655-eee7-4889-982d-f4dd2e025f9a: does not qualify; 1.1 s; peak memory 686 MiB.
2026-09-24T16:28:33Z INFO [176/371] 12d9bf54-3f58-4030-8969-8e7fbbbaec9b: does not qualify; 1.2 s; peak memory 686 MiB.
