2026-09-23T02:58:14Z INFO Logging to /tmp/logs/update_2026-09-23T02-58-14Z.log.
2026-09-23T02:58:14Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-23T02:58:16Z INFO Processing 351 items (54321 already recorded).
2026-09-23T03:05:59Z INFO [125/351] 0fc5f4e5-1548-4e4f-92d4-d591a661679d: does not qualify; 1.4 s; peak memory 639 MiB.
2026-09-23T03:06:01Z INFO [126/351] 0fc634bc-63fa-4ea7-8d9c-c2a629cff2aa: does not qualify; 1.8 s; peak memory 639 MiB.
2026-09-23T03:06:03Z INFO [127/351] 0fc67712-36a6-41d1-b1bf-cc128ee0da7b: does not qualify; 1.9 s; peak memory 639 MiB.
2026-09-23T03:06:04Z INFO [128/351] 0fc6dbc5-ab15-4340-ad5c-cadf375589ba: does not qualify; 1.6 s; peak memory 639 MiB.
2026-09-23T03:06:06Z INFO [129/351] 0fc7221a-f2fe-4da4-a127-a8e226cf06ff: does not qualify; 1.3 s; peak memory 639 MiB.
2026-09-23T03:06:08Z INFO [130/351] 0fc784a3-5231-4039-9501-7e0fe88b1052: does not qualify; 2.8 s; peak memory 639 MiB.
2026-09-23T03:06:10Z INFO [131/351] 0fc7c143-e8bf-4dc8-9852-ea673c491f5b: does not qualify; 1.6 s; peak memory 639 MiB.
2026-09-23T03:06:19Z INFO [132/351] 0fc7e22d-1ebe-44e3-a6c4-d2ff4d08bfb1: does not qualify; 9.2 s; peak memory 639 MiB.
2026-09-23T03:06:21Z INFO [133/351] 0fc93de6-83c5-4ed1-842b-89d2cbef9d5b: does not qualify; 1.4 s; peak memory 639 MiB.
2026-09-23T03:06:22Z INFO [134/351] 0fc96dd2-70ce-46af-81c7-0e5e9fcb9121: does not qualify; 1.5 s; peak memory 639 MiB.
2026-09-23T03:06:24Z INFO [135/351] 0fc9eb51-3b3c-4631-8528-a686391364cb: does not qualify; 1.9 s; peak memory 639 MiB.
2026-09-23T03:06:27Z INFO [136/351] 0fca3647-eb8b-4d26-a86f-0975994df1da: does not qualify; 3.2 s; peak memory 639 MiB.
2026-09-23T03:06:31Z INFO [137/351] 0fca6ab6-0c1b-4b59-b36c-5356fcbb9022: does not qualify; 3.7 s; peak memory 639 MiB.
2026-09-23T03:06:32Z INFO [138/351] 0fcaa099-a248-47e1-ae71-d9eaf6253efc: does not qualify; 1.2 s; peak memory 639 MiB.
2026-09-23T03:06:33Z INFO [139/351] 0fcaa4d2-fa40-44c0-8dd3-8ebfdbf9365a: does not qualify; 1.2 s; peak memory 639 MiB.
2026-09-23T03:06:46Z INFO [140/351] 0fcaa68c-23ab-421e-be43-7308803d7689: does not qualify; 12.5 s; peak memory 639 MiB.
2026-09-23T03:06:48Z INFO [141/351] 0fcaf8e4-b190-42ac-880b-2c38d7ac3048: does not qualify; 2.6 s; peak memory 639 MiB.
