2026-09-18T15:41:49Z INFO Logging to /tmp/logs/update_2026-09-18T15-41-49Z.log.
2026-09-18T15:41:49Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-18T15:41:50Z INFO Processing 748 items (49147 already recorded).
2026-09-18T15:50:03Z INFO [134/748] 0513cce0-d56c-4434-a831-fd84da3fad73: does not qualify; 1.6 s; peak memory 629 MiB.
2026-09-18T15:50:08Z INFO [135/748] 05144f3c-8f2b-46ea-9543-eb29dd13be94: does not qualify; 4.5 s; peak memory 629 MiB.
2026-09-18T15:50:09Z INFO [136/748] 0514f007-a890-4e83-b0a5-69b9de319ac3: does not qualify; 1.7 s; peak memory 629 MiB.
2026-09-18T15:50:19Z INFO [137/748] 05156443-e952-4f78-95d6-1234cbc9d0a8: does not qualify; 9.5 s; peak memory 629 MiB.
2026-09-18T15:50:20Z INFO [138/748] 0515698a-ba7f-491c-b7a4-36ac259a247d: does not qualify; 1.4 s; peak memory 629 MiB.
2026-09-18T15:50:22Z INFO [139/748] 05163ed0-c6f2-4e21-8c86-2ce72651b103: does not qualify; 1.3 s; peak memory 629 MiB.
2026-09-18T15:50:23Z INFO [140/748] 05164ea7-da9f-455b-a82c-7a922938d2d8: does not qualify; 1.4 s; peak memory 629 MiB.
2026-09-18T15:50:24Z INFO [141/748] 05179b9d-5a97-4eb5-9768-964b0b8a9d07: does not qualify; 1.3 s; peak memory 629 MiB.
2026-09-18T15:50:25Z INFO [142/748] 0517c7a3-d041-42a4-bf0e-404aae292ed2: does not qualify; 1.0 s; peak memory 629 MiB.
2026-09-18T15:50:27Z INFO [143/748] 0517e2a4-3fef-4792-9028-167e59d43fa4: does not qualify; 1.3 s; peak memory 629 MiB.
2026-09-18T15:50:28Z INFO [144/748] 0518061f-53eb-4891-ad0b-fabfbc05c9ce: does not qualify; 1.1 s; peak memory 629 MiB.
2026-09-18T15:50:29Z INFO [145/748] 05183659-fd91-448a-8c5b-2ed920235cf7: does not qualify; 1.2 s; peak memory 629 MiB.
2026-09-18T15:50:30Z INFO [146/748] 0518f1f4-df62-4a59-8738-41ec0836899e: does not qualify; 0.9 s; peak memory 629 MiB.
2026-09-18T15:50:31Z INFO [147/748] 051987e9-a292-42ab-964b-f0fcfb10ca3a: does not qualify; 1.2 s; peak memory 629 MiB.
2026-09-18T15:50:33Z INFO [148/748] 051a1b67-2995-4226-94c1-cf4715884f40: does not qualify; 2.1 s; peak memory 629 MiB.
