2026-09-25T16:22:12Z INFO Logging to /tmp/logs/update_2026-09-25T16-22-12Z.log.
2026-09-25T16:22:12Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-25T16:22:13Z INFO Processing 381 items (56905 already recorded).
2026-09-25T16:28:10Z INFO [110/381] 1502dc4b-58fa-4142-ad0c-740e1d88a06a: does not qualify; 1.0 s; peak memory 513 MiB.
2026-09-25T16:28:11Z INFO [111/381] 1502e024-af3f-4b56-8ff3-b476d026608d: does not qualify; 0.7 s; peak memory 513 MiB.
2026-09-25T16:28:14Z INFO [112/381] 15032620-1941-4bb7-8c49-948be759f31a: does not qualify; 3.3 s; peak memory 513 MiB.
2026-09-25T16:28:15Z INFO [113/381] 15050c9b-69fd-4628-aef0-9a104fc30fa2: qualifies; 1.1 s; peak memory 513 MiB.
2026-09-25T16:28:16Z INFO [114/381] 150641d2-9058-413d-8be9-d41ded3db003: does not qualify; 0.9 s; peak memory 513 MiB.
2026-09-25T16:28:17Z INFO [115/381] 15086221-685d-41b6-a00e-6ba6e83bbda2: does not qualify; 0.6 s; peak memory 513 MiB.
2026-09-25T16:28:17Z INFO [116/381] 15091a3c-9f02-41f5-917a-e5801e55fa40: does not qualify; 0.4 s; peak memory 513 MiB.
2026-09-25T16:28:21Z INFO [117/381] 1509acde-171d-4048-852c-a86c7266ae28: does not qualify; 4.3 s; peak memory 513 MiB.
2026-09-25T16:28:22Z INFO [118/381] 1509fe39-6a59-425f-948f-856429c5eb93: does not qualify; 0.7 s; peak memory 513 MiB.
2026-09-25T16:28:24Z INFO [119/381] 150a17f6-c2a7-45a5-a5cd-fba432eaad83: does not qualify; 1.8 s; peak memory 513 MiB.
2026-09-25T16:28:25Z INFO [120/381] 150a31c3-bb06-4f1d-b39a-13f16ba41b31: does not qualify; 0.9 s; peak memory 513 MiB.
2026-09-25T16:28:25Z INFO [121/381] 150ab095-09fd-4a1d-a3da-f19c62210443: does not qualify; 0.7 s; peak memory 513 MiB.
2026-09-25T16:28:30Z INFO [122/381] 150ac56e-9724-46bb-8348-6a45583cbf40: does not qualify; 4.3 s; peak memory 513 MiB.
2026-09-25T16:28:31Z INFO [123/381] 150b2ebf-ee87-4f03-9b21-97cdd02a3c88: does not qualify; 1.0 s; peak memory 513 MiB.
2026-09-25T16:28:33Z INFO [124/381] 150c0747-51d0-426a-aae2-6f147f37edf7: does not qualify; 2.4 s; peak memory 513 MiB.
2026-09-25T16:28:33Z INFO [125/381] 150c8713-4483-409d-bd4b-80b3e41ee3d1: does not qualify; 0.4 s; peak memory 513 MiB.
2026-09-25T16:28:34Z INFO [126/381] 150d60d4-7c29-4495-b13a-7062a7bd6bc6: does not qualify; 0.7 s; peak memory 513 MiB.
2026-09-25T16:28:38Z INFO [127/381] 150f0f2b-ceec-42f9-8875-38b53ba52228: does not qualify; 3.8 s; peak memory 513 MiB.
2026-09-25T16:28:38Z INFO [128/381] 150fa28e-ee9a-4580-b5c2-7a3ba3104383: does not qualify; 0.5 s; peak memory 513 MiB.
2026-09-25T16:28:40Z INFO [129/381] 150fcaf5-13ba-4f4a-a025-614748a6d178: does not qualify; 1.4 s; peak memory 513 MiB.
