2026-09-21T11:47:45Z INFO Logging to /tmp/logs/update_2026-09-21T11-47-45Z.log.
2026-09-21T11:47:45Z INFO Update qualifying-lfp-content-ids (base directory /tmp).
2026-09-21T11:47:47Z INFO Processing 367 items (52494 already recorded).
2026-09-21T11:50:54Z INFO [70/367] 0be5dc3b-eae7-406c-ad48-3f09389267ff: does not qualify; 4.0 s; peak memory 508 MiB.
2026-09-21T11:50:56Z INFO [71/367] 0be60064-ba6c-4a9f-95a8-0b1e1f7a3ce9: does not qualify; 1.4 s; peak memory 508 MiB.
2026-09-21T11:51:09Z INFO [72/367] 0be719c1-00c0-4756-823b-08f15b40391b: does not qualify; 12.9 s; peak memory 508 MiB.
2026-09-21T11:51:10Z INFO [73/367] 0be93f18-8608-4df2-a594-97c67759ffff: does not qualify; 1.8 s; peak memory 508 MiB.
2026-09-21T11:51:12Z INFO [74/367] 0be940c2-8c26-47da-9947-889855e1918d: does not qualify; 1.9 s; peak memory 508 MiB.
2026-09-21T11:51:21Z INFO [75/367] 0be95fc6-b2f9-446b-87ee-2a47175b127c: does not qualify; 8.9 s; peak memory 607 MiB.
2026-09-21T11:51:23Z INFO [76/367] 0be999a5-81a1-45cb-83d3-198b6a32ab60: does not qualify; 1.5 s; peak memory 607 MiB.
2026-09-21T11:51:33Z INFO [77/367] 0bea007c-0c61-4de2-b33b-5e2d3a13923b: does not qualify; 10.8 s; peak memory 607 MiB.
2026-09-21T11:51:35Z INFO [78/367] 0beabc9c-0c5c-4890-a145-ab85be33897f: does not qualify; 2.0 s; peak memory 607 MiB.
2026-09-21T11:51:37Z INFO [79/367] 0beb5b14-3df6-4ec4-837b-9ccaded562c7: does not qualify; 1.8 s; peak memory 607 MiB.
2026-09-21T11:51:40Z INFO [80/367] 0bebd8db-4ad3-4d35-b60a-b85931f34f15: does not qualify; 2.7 s; peak memory 607 MiB.
2026-09-21T11:51:41Z INFO [81/367] 0beca01a-54bd-4714-9b64-f4fcd92c9dcc: does not qualify; 1.4 s; peak memory 607 MiB.
2026-09-21T11:51:43Z INFO [82/367] 0bed09d6-f58a-4715-9f5b-d87f3f43b501: does not qualify; 1.5 s; peak memory 607 MiB.
2026-09-21T11:51:45Z INFO [83/367] 0bee4f44-a071-44b7-a6a9-0c562f8d92c7: does not qualify; 1.8 s; peak memory 607 MiB.
2026-09-21T11:51:47Z INFO [84/367] 0bee5ab4-db69-4f92-a5f5-dd7a20ed91df: does not qualify; 2.0 s; peak memory 607 MiB.
2026-09-21T11:51:53Z INFO [85/367] 0bee8a84-5d66-4337-a23e-9bb555b415cd: does not qualify; 5.9 s; peak memory 607 MiB.
2026-09-21T11:51:55Z INFO [86/367] 0beea927-1d05-4951-b370-5d0df14cbcba: does not qualify; 2.4 s; peak memory 607 MiB.
2026-09-21T11:51:56Z INFO [87/367] 0bef848c-7a1d-423f-8f66-dae0a33c8b0a: does not qualify; 1.4 s; peak memory 607 MiB.
2026-09-21T11:51:58Z INFO [88/367] 0bf03275-5079-4594-bee4-4858fc3bf2d2: does not qualify; 1.8 s; peak memory 607 MiB.
2026-09-21T11:52:00Z INFO [89/367] 0bf03b84-2593-439e-9ea9-965d3762846d: does not qualify; 1.4 s; peak memory 607 MiB.
2026-09-21T11:52:01Z INFO [90/367] 0bf0a692-94b5-4149-8eeb-8344431d8c0d: does not qualify; 1.9 s; peak memory 607 MiB.
2026-09-21T11:52:03Z INFO [91/367] 0bf1bcb2-c64a-45d3-b40b-ad4fa6b79f58: does not qualify; 1.4 s; peak memory 607 MiB.
2026-09-21T11:52:05Z INFO [92/367] 0bf202ee-0bf6-43e4-b3fe-d14c83898694: does not qualify; 2.0 s; peak memory 607 MiB.
2026-09-21T11:52:12Z INFO [93/367] 0bf20ba6-3809-417e-a3af-a8b7156fe10d: does not qualify; 7.5 s; peak memory 607 MiB.
2026-09-21T11:52:14Z INFO [94/367] 0bf22d77-708e-4291-aa74-4e75379cd50e: does not qualify; 1.4 s; peak memory 607 MiB.
2026-09-21T11:52:21Z INFO [95/367] 0bf23b1a-82bd-43f9-ae05-b7599ff7fd26: does not qualify; 7.6 s; peak memory 607 MiB.
2026-09-21T11:52:23Z INFO [96/367] 0bf26de9-8ca8-4331-982a-e27a709aca9a: does not qualify; 1.9 s; peak memory 607 MiB.
2026-09-21T11:52:25Z INFO [97/367] 0bf353bf-6c3f-47d7-b438-a21cab303c12: does not qualify; 1.4 s; peak memory 607 MiB.
2026-09-21T11:52:28Z INFO [98/367] 0bf47f3a-2b67-44c7-a298-51c260d9ae47: does not qualify; 3.7 s; peak memory 607 MiB.
2026-09-21T11:52:36Z INFO [99/367] 0bf49b27-f4e6-4008-9d37-fb48dfd4ebc0: does not qualify; 7.8 s; peak memory 607 MiB.
2026-09-21T11:52:38Z INFO [100/367] 0bf4a089-1ea1-47b6-9bcb-b52b844e7701: does not qualify; 1.5 s; peak memory 607 MiB.
2026-09-21T11:52:38Z INFO [100/367] 0bf4a089-1ea1-47b6-9bcb-b52b844e7701: checkpointed 52594 records.
2026-09-21T11:52:41Z INFO [101/367] 0bf6026d-f890-474c-8ee7-6ab80e95bb00: does not qualify; 3.1 s; peak memory 607 MiB.
2026-09-21T11:52:43Z INFO [102/367] 0bf71dd5-b42d-4773-a39e-45c764aa08f6: does not qualify; 2.4 s; peak memory 607 MiB.
